Ref,Val,Package,PosX,PosY,Rot,Side
"REF**","NPTH","NPTH",96.969533,-85.891000,0.000000,top
"REF**","NPTH","NPTH",65.544732,-62.461000,0.000000,top
"REF**","NPTH","NPTH",54.070466,-85.891000,0.000000,top
"REF**","NPTH","NPTH",114.918066,-109.311000,0.000000,top
"REF**","NPTH","NPTH",114.084732,-85.891000,0.000000,top
"REF**","NPTH","NPTH",87.161933,-62.461000,0.000000,top
"REF**","NPTH","NPTH",76.282555,-75.091899,0.000000,top
"REF**","NPTH","NPTH",43.429533,-109.311000,0.000000,top
"REF**","NPTH","NPTH",96.136200,-60.959000,0.000000,top
"REF**","NPTH","NPTH",85.495267,-85.891000,0.000000,top
"REF**","NPTH","NPTH",34.455267,-107.809000,0.000000,top
"REF**","NPTH","NPTH",96.969533,-60.959000,0.000000,top
"REF**","NPTH","NPTH",55.737133,-62.461000,0.000000,top
"REF**","NPTH","NPTH",53.237133,-84.389000,0.000000,top
"REF**","NPTH","NPTH",96.969533,-107.809000,0.000000,top
"REF**","NPTH","NPTH",76.281778,-50.833566,0.000000,top
"REF**","NPTH","NPTH",36.955267,-84.389000,0.000000,top
"REF**","NPTH","NPTH",74.757443,-95.183100,0.000000,top
"REF**","NPTH","NPTH",95.302866,-60.959000,0.000000,top
"REF**","NPTH","NPTH",36.955267,-85.891000,0.000000,top
"REF**","NPTH","NPTH",96.136200,-109.311000,0.000000,top
"REF**","NPTH","NPTH",56.570466,-109.311000,0.000000,top
"REF**","NPTH","NPTH",74.758999,-120.269766,0.000000,top
"REF**","NPTH","NPTH",96.969533,-109.311000,0.000000,top
"REF**","NPTH","NPTH",76.281778,-97.683566,0.000000,top
"REF**","NPTH","NPTH",107.610466,-62.461000,0.000000,top
"REF**","NPTH","NPTH",36.955267,-62.461000,0.000000,top
"REF**","NPTH","NPTH",74.759777,-97.683099,0.000000,top
"REF**","NPTH","NPTH",63.044732,-109.311000,0.000000,top
"REF**","NPTH","NPTH",46.762866,-107.809000,0.000000,top
"REF**","NPTH","NPTH",86.328600,-60.959000,0.000000,top
"REF**","NPTH","NPTH",46.762866,-85.891000,0.000000,top
"REF**","NPTH","NPTH",114.918066,-107.809000,0.000000,top
"REF**","NPTH","NPTH",104.277133,-107.809000,0.000000,top
"REF**","NPTH","NPTH",55.737133,-84.389000,0.000000,top
"REF**","NPTH","NPTH",106.777133,-60.959000,0.000000,top
"REF**","NPTH","NPTH",105.110466,-62.461000,0.000000,top
"REF**","NPTH","NPTH",116.584732,-60.959000,0.000000,top
"REF**","NPTH","NPTH",76.281777,-74.258566,0.000000,top
"REF**","NPTH","NPTH",64.711399,-109.311000,0.000000,top
"REF**","NPTH","NPTH",45.929533,-84.389000,0.000000,top
"REF**","NPTH","NPTH",104.277133,-62.461000,0.000000,top
"REF**","NPTH","NPTH",53.237133,-62.461000,0.000000,top
"REF**","NPTH","NPTH",76.282556,-121.936899,0.000000,top
"REF**","NPTH","NPTH",53.237133,-107.809000,0.000000,top
"REF**","NPTH","NPTH",36.121933,-84.389000,0.000000,top
"REF**","NPTH","NPTH",34.455267,-62.461000,0.000000,top
"REF**","NPTH","NPTH",117.418066,-85.891000,0.000000,top
"REF**","NPTH","NPTH",43.429533,-62.461000,0.000000,top
"REF**","NPTH","NPTH",87.995267,-107.809000,0.000000,top
"REF**","NPTH","NPTH",55.737133,-60.959000,0.000000,top
"REF**","NPTH","NPTH",116.584732,-107.809000,0.000000,top
"REF**","NPTH","NPTH",96.969533,-84.389000,0.000000,top
"REF**","NPTH","NPTH",54.903799,-109.311000,0.000000,top
"REF**","NPTH","NPTH",117.418066,-60.959000,0.000000,top
"REF**","NPTH","NPTH",54.903799,-85.891000,0.000000,top
"REF**","NPTH","NPTH",74.758221,-49.166433,0.000000,top
"REF**","NPTH","NPTH",64.711399,-62.461000,0.000000,top
"REF**","NPTH","NPTH",95.302866,-84.389000,0.000000,top
"REF**","NPTH","NPTH",34.455267,-85.891000,0.000000,top
"REF**","NPTH","NPTH",36.121933,-60.959000,0.000000,top
